# 特殊日子配置文件
# 格式：名称|月份|日期|小时|分钟|是否每年重复(1/0)|年份(如果是0则忽略)|是否节气(1/0)
# 示例：
元旦|1|1|0|0|1|0|0
小寒|1|5|15|50|1|0|1
腊八节|1|7|0|0|1|0|0
周恩来逝世纪念日|1|8|0|0|1|0|0
中国人民警察节|1|10|0|0|1|0|0
大寒|1|20|7|25|1|0|1
春节|2|1|0|0|1|0|0
世界湿地日|2|2|0|0|1|0|0
立春|2|4|12|30|1|0|1
情人节|2|14|0|0|1|0|0
元宵节|2|15|0|0|1|0|0
雨水|2|19|1|45|1|0|1
国际海豹日|3|1|0|0|1|0|0
全国爱耳日|3|3|0|0|1|0|0
惊蛰|3|5|8|20|1|0|1
妇女节|3|8|0|0|1|0|0
植树节|3|12|0|0|1|0|0
春分|3|20|20|15|1|0|1
愚人节|4|1|0|0|1|0|0
国际儿童图书日|4|2|0|0|1|0|0
清明节|4|4|0|0|1|0|0
清明|4|4|15|30|1|0|1
世界卫生日|4|7|0|0|1|0|0
谷雨|4|20|7|10|1|0|1
世界地球日|4|22|0|0|1|0|0
世界读书日|4|23|0|0|1|0|0
劳动节|5|1|0|0|1|0|0
青年节|5|4|0|0|1|0|0
立夏|5|5|18|45|1|0|1
世界红十字日|5|8|0|0|1|0|0
国际护士节|5|12|0|0|1|0|0
小满|5|21|10|30|1|0|1
世界无烟日|5|31|0|0|1|0|0
儿童节|6|1|0|0|1|0|0
                      |6|4|0|0|1|0|0
世界环境日|6|5|0|0|1|0|0
芒种|6|5|22|15|1|0|1
世界献血者日|6|14|0|0|1|0|0
世界难民日|6|20|0|0|1|0|0
夏至|6|21|14|20|1|0|1
国际奥林匹克日|6|23|0|0|1|0|0
建党节|7|1|0|0|1|0|0
七七事变纪念日|7|7|0|0|1|0|0
小暑|7|7|6|50|1|0|1
世界人口日|7|11|0|0|1|0|0
大暑|7|22|19|30|1|0|1
建军节|8|1|0|0|1|0|0
立秋|8|7|11|15|1|0|1
中国医师节|8|19|0|0|1|0|0
邓小平诞辰纪念日|8|22|0|0|1|0|0
处暑|8|23|3|40|1|0|1
抗战胜利纪念日|9|3|0|0|1|0|0
白露|9|7|16|25|1|0|1
教师节|9|10|0|0|1|0|0
九一八事变纪念日|9|18|0|0|1|0|0
秋分|9|23|8|55|1|0|1
世界旅游日|9|27|0|0|1|0|0
孔子诞辰纪念日|9|28|0|0|1|0|0
烈士纪念日|9|30|0|0|1|0|0
国庆节|10|1|0|0|1|0|0
寒露|10|8|1|30|1|0|1
世界精神卫生日|10|10|0|0|1|0|0
世界粮食日|10|16|0|0|1|0|0
霜降|10|23|14|5|1|0|1
联合国日|10|24|0|0|1|0|0
立冬|11|7|6|35|1|0|1
十月革命胜利日|11|7|0|0|1|0|0
国际消防日|11|9|0|0|1|0|0
孙中山诞辰纪念日|11|12|0|0|1|0|0
小雪|11|22|19|10|1|0|1
世界艾滋病日|12|1|0|0|1|0|0
国际残疾人日|12|3|0|0|1|0|0
大雪|12|7|11|45|1|0|1
南京大屠杀纪念日|12|13|0|0|1|0|0
冬至|12|21|23|20|1|0|1
平安夜|12|24|0|0|1|0|0
圣诞节|12|25|0|0|1|0|0
毛泽东诞辰纪念日|12|26|0|0|1|0|0
苏维埃社会主义共和国联盟成立日|12|30|0|0|1|0|0
